LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NapA,Root | SP|P39185|NAPA_ALCEU/2-831
678_NapA,Sulfurimonas denitrificans DSM 1251 | 326298.Suden_1514
679_NapA,Sulfurimonas denitrificans | tr|Q30QE0|Q30QE0_SULDN
680_NapA,Sulfurimonas gotlandica GD1 | 929558.SMGD1_0403
681_NapA,Sulfurimonas gotlandica GD1 | 929558.SMGD1_0589
682_NapA,Sulfurimonas hongkongensis | 1172190.M947_04925
683_NapA,Sulfurimonas sediminis | tr|A0A7M1B1W5|A0A7M1B1W5_9PROT
684_NapA,Sulfurimonas sp. | tr|A0A2G1Y0N8|A0A2G1Y0N8_9PROT
685_NapA,Sulfurimonas sp. | tr|A0A2G2P8B6|A0A2G2P8B6_9PROT
686_NapA,Lebetimonas sp. JS170 | 990073.ATHU01000001_gene504
687_NapA,Lebetimonas sp. JS170 | 990073.ATHU01000001_gene538
688_NapA,Nautilia profundicola AmH | 598659.NAMH_0556
689_NapA,Nitratiruptor sp. SB155-2 | 387092.NIS_1808
690_NapA,endosymbiont of Tevnia jerichonana (vent Tica) | 1049564.TevJSym_aa00490
691_NapA,endosymbiont of Tevnia jerichonana (vent Tica) | 1049564.TevJSym_al00650
692_NapA,Solemya velum gill symbiont | 2340.JV46_19610
693_NapA,gamma proteobacterium HTCC5015 | 391615.ABSJ01000059_gene2151
694_NapA,gamma proteobacterium HdN1 | 83406.HDN1F_25250
695_NapA,Acidiferrobacteraceae | tr|A0A2D6CME3|A0A2D6CME3_9GAMM
696_NapA,Aeromonadales | tr|A0A7V2S7G9|A0A7V2S7G9_9GAMM
697_NapA,Aeromonas dhakensis | tr|K1JGU5|K1JGU5_9GAMM
698_NapA,Aeromonas diversa CDC 2478-85 | 1268237.G114_18636
699_NapA,Aeromonas enteropelogenes (Aeromonas trota) | tr|A0A175VK42|A0A175VK42_AEREN
700_NapA,Aeromonas hydrophila YL17 | 1448139.AI20_11235
701_NapA,Aeromonas hydrophila subsp. hydrophila ATCC 7966 | 380703.AHA_3414
702_NapA,Aeromonas lacus | 558884.JRGM01000140_gene701
703_NapA,Oceanimonas doudoroffii | tr|A0A233RHD8|A0A233RHD8_9GAMM
704_NapA,Oceanimonas smirnovii ATCC BAA-899 | 1279015.KB908468_gene383
705_NapA,Oceanimonas sp. GK1 | 511062.GU3_11060
706_NapA,Tolumonas auensis DSM 9187 | 595494.Tola_1775
707_NapA,Alteromonadales | tr|A0A418YG19|A0A418YG19_9GAMM
708_NapA,Alteromonadaceae | tr|A0A2A5HL68|A0A2A5HL68_9ALTE
709_NapA,Agarivorans sp. B2Z047 | tr|A0A7C9KFS4|A0A7C9KFS4_9ALTE
710_NapA,Alginatibacterium sediminis | tr|A0A420EHJ2|A0A420EHJ2_9ALTE
711_NapA,Aliagarivorans taiwanensis DSM 22990 | 1120970.AUBZ01000020_gene1390
712_NapA,Aliagarivorans taiwanensis DSM 22990 | 1120970.AUBZ01000022_gene1276
713_NapA,Aliiglaciecola lipolytica E3 | 1127673.GLIP_2402
714_NapA,Alteromonas aestuariivivens | tr|A0A3D8M433|A0A3D8M433_9ALTE
715_NapA,Alteromonas australica | 589873.EP13_03270
716_NapA,Alteromonas mediterranea | 314275.MADE_1003705
717_NapA,Alteromonas naphthalenivorans | 715451.ambt_15170
718_NapA,Alteromonas sp. ALT199 | 1298865.H978DRAFT_2833
719_NapA,Catenovulum agarivorans DS-2 | 1328313.DS2_02233
720_NapA,Catenovulum agarivorans DS-2 | 1328313.DS2_02318
721_NapA,Catenovulum maritimum | tr|A0A0J8GS51|A0A0J8GS51_9ALTE
722_NapA,Gayadomonas joobiniege G7 | 1046714.AMRX01000006_gene3230
723_NapA,Glaciecola sp. 4H-3-7+YE-5 | 983545.Glaag_1918
724_NapA,Marinobacter algicola DG893 | 443152.MDG893_17362
725_NapA,Marinobacter daepoensis DSM 16072 | 1122197.ATWI01000010_gene1076
726_NapA,Marinobacter lipolyticus SM19 | 1318628.MARLIPOL_11346
727_NapA,Marinobacter nanhaiticus D15-8W | 626887.J057_06781
728_NapA,Marinobacter santoriniensis NKSG1 | 1288826.MSNKSG1_15731
729_NapA,Marinobacter shengliensis | tr|A0A2T1KYN6|A0A2T1KYN6_9GAMM
730_NapA,Marinobacter sp. ES-1 | 1396858.Q666_03555
731_NapA,Marinobacter sp. HL-58 | 1479237.JMLY01000001_gene1579
732_NapA,Marinobacter sp. HL-58 | 1479237.JMLY01000001_gene255
733_NapA,Marinobacter sp. HL-58 | 1479237.JMLY01000001_gene681
734_NapA,Paraglaciecola psychrophila 170 | 1129794.C427_2631
735_NapA,Colwellia piezophila ATCC BAA-637 | 1265503.KB905168_gene1379
736_NapA,Colwellia psychrerythraea | 28229.ND2E_0526
737_NapA,Colwellia sp. Bg11-12 | tr|A0A7W2MHH2|A0A7W2MHH2_9GAMM
738_NapA,Colwellia sp. Bg11-28 | tr|A0A2N1HNV2|A0A2N1HNV2_9GAMM
739_NapA,Litorilituus sediminis | tr|A0A4P6P642|A0A4P6P642_9GAMM
740_NapA,Thalassomonas sp. M1454 | tr|A0A553FBF3|A0A553FBF3_9GAMM
741_NapA,Thalassotalea agarivorans (Thalassomonas agarivorans) | tr|A0A1H9ZCD9|A0A1H9ZCD9_THASX
742_NapA,Thalassotalea mangrovi | tr|A0A4U1B9G5|A0A4U1B9G5_9GAMM
743_NapA,Thalassotalea sp. HSM 43 | tr|A0A4P7JJ05|A0A4P7JJ05_9GAMM
744_NapA,Thalassotalea sp. ND16A | 1535422.ND16A_0370
745_NapA,Ferrimonas balearica DSM 9799 | 550540.Fbal_3625
746_NapA,Ferrimonas balearica DSM 9799 | 550540.Fbal_3632
747_NapA,Ferrimonas futtsuensis DSM 18154 | 1121878.AUGL01000002_gene2137
748_NapA,Ferrimonas futtsuensis DSM 18154 | 1121878.AUGL01000008_gene1372
749_NapA,Ferrimonas lipolytica | tr|A0A6H1UCA8|A0A6H1UCA8_9GAMM
750_NapA,Ferrimonas lipolytica | tr|A0A6H1UEG0|A0A6H1UEG0_9GAMM
751_NapA,Ferrimonas marina | tr|A0A1M5NMJ6|A0A1M5NMJ6_9GAMM
752_NapA,Ferrimonas sp. IMCC35002 | tr|A0A4U1BJK5|A0A4U1BJK5_9GAMM
753_NapA,Moritella dasanensis ArB 0140 | 1201293.AKXQ01000006_gene283
754_NapA,Moritella yayanosii | tr|A0A330LLB7|A0A330LLB7_9GAMM
755_NapA,Pseudoalteromonas atlantica T6c | 342610.Patl_2236
756_NapA,Pseudoalteromonas atlantica T6c | 342610.Patl_2844
757_NapA,Pseudoalteromonas denitrificans | tr|A0A1I1E2A8|A0A1I1E2A8_9GAMM
758_NapA,Pseudoalteromonas haloplanktis ATCC 14393 | 1117315.AHCA01000002_gene3285
759_NapA,Pseudoalteromonas sp. Bsw20308 | 283699.D172_0103
760_NapA,Pseudoalteromonas sp. NBT06-2 | tr|A0A269PL07|A0A269PL07_9GAMM
761_NapA,Corallincola holothuriorum | tr|A0A368NN01|A0A368NN01_9GAMM
762_NapA,Psychromonas ingrahamii 37 | 357804.Ping_1026
763_NapA,Psychromonas ingrahamii 37 | 357804.Ping_2174
764_NapA,Psychromonas ossibalaenae ATCC BAA-1528 | 1278307.KB906967_gene2418
765_NapA,Psychromonas sp. CNPT3 | 314282.PCNPT3_06490
766_NapA,Parashewanella spongiae | tr|A0A3A6U4W2|A0A3A6U4W2_9GAMM
767_NapA,Shewanella amazonensis SB2B | 326297.Sama_1622
768_NapA,Shewanella denitrificans OS217 | 318161.Sden_1497
769_NapA,Shewanella denitrificans OS217 | 318161.Sden_3718
770_NapA,Shewanella frigidimarina NCIMB 400 | 318167.Sfri_0553
771_NapA,Shewanella frigidimarina NCIMB 400 | 318167.Sfri_1505
772_NapA,Shewanella mangrovi | 1515746.HR45_10475
773_NapA,Shewanella marina JCM 15074 | 1236542.BALM01000002_gene924
774_NapA,Shewanella piezotolerans WP3 | 225849.swp_2922
775_NapA,Shewanella sp. 10N.286.48.B5 | tr|A0A2N7DK74|A0A2N7DK74_9GAMM
776_NapA,Shewanella sp. ECSMB14101 | 1565129.JSFF01000004_gene3110
777_NapA,Shewanella sp. ECSMB14101 | 1565129.JSFF01000031_gene2981
778_NapA,Shewanella sp. OPT22 | tr|A0A4Q5MBZ9|A0A4Q5MBZ9_9GAMM
779_NapA,Shewanella sp. XMDDZSB0408 | tr|A0A6L5NTL2|A0A6L5NTL2_9GAMM
780_NapA,Shewanella violacea DSS12 | 637905.SVI_2424
781_NapA,Shewanella waksmanii ATCC BAA-643 | 1336233.JAEH01000046_gene3772
782_NapA,Shewanella woodyi ATCC 51908 | 392500.Swoo_1860
783_NapA,Cellvibrionaceae | tr|A0A2E2XH67|A0A2E2XH67_9GAMM
784_NapA,Cellvibrio sp. BR | 1134474.O59_002812
785_NapA,Cellvibrio sp. BR | 1134474.O59_003356
786_NapA,Exilibacterium tricleocarpae | tr|A0A545TAL1|A0A545TAL1_9GAMM
787_NapA,Gilvimarinus chinensis DSM 19667 | 1121921.KB898710_gene619
788_NapA,Marinimicrobium agarilyticum DSM 16975 | 1122194.AUHU01000003_gene2130
789_NapA,Marinimicrobium agarilyticum DSM 16975 | 1122194.AUHU01000009_gene3216
790_NapA,Marinimicrobium koreense | tr|A0A3N1NPJ7|A0A3N1NPJ7_9GAMM
791_NapA,Saccharophagus degradans 2-40 | 203122.Sde_0084
792_NapA,Saccharophagus degradans 2-40 | 203122.Sde_0764
793_NapA,Simiduia agarivorans SA1 = DSM 21679 | 1117647.M5M_05635
794_NapA,Simiduia agarivorans SA1 = DSM 21679 | 1117647.M5M_06275
795_NapA,Teredinibacter turnerae T7902 | 1056820.KB900700_gene1093
796_NapA,marine gamma proteobacterium HTCC2148 | 247634.GPB2148_3000
797_NapA,marine gamma proteobacterium HTCC2148 | 247634.GPB2148_3017
798_NapA,marine gamma proteobacterium HTCC2148 | 247634.GPB2148_969
799_NapA,Parahaliea aestuarii | tr|A0A5C9A325|A0A5C9A325_9GAMM
800_NapA,Microbulbifer agarilyticus S89 | 1042377.AFPJ01000022_gene1300
801_NapA,Microbulbifer sp. SH-1 | tr|A0A6G8DF49|A0A6G8DF49_9GAMM
802_NapA,Microbulbifer variabilis ATCC 700307 | 1279017.AQYJ01000028_gene2537
803_NapA,gamma proteobacterium HTCC2207 | 314287.GB2207_09081
804_NapA,Porticoccus hydrocarbonoclasticus MCTG13d | 1415778.JQMM01000001_gene1638
805_NapA,gamma proteobacterium BDW918 | 1168065.DOK_15159
806_NapA,marine gamma proteobacterium HTCC2143 | 247633.GP2143_09952
807_NapA,Sinobacterium caligoides | tr|A0A3N2DP21|A0A3N2DP21_9GAMM
808_NapA,Spongiibacter tropicus DSM 19543 | 1123279.ATUS01000005_gene3120
809_NapA,Chromatiales | tr|A0A2D6IUQ9|A0A2D6IUQ9_9GAMM
810_NapA,Chromatiaceae | tr|A0A6I7PZ45|A0A6I7PZ45_9GAMM
811_NapA,Chromatiaceae | tr|A0A800CBL1|A0A800CBL1_9GAMM
812_NapA,Candidatus Tenderia electrophaga | tr|A0A832N2S5|A0A832N2S5_9GAMM
813_NapA,Marichromatium purpuratum 984 | 765910.MARPU_14500
814_NapA,Thiocapsa marina 5811 | 768671.ThimaDRAFT_4410
815_NapA,Thiocapsa marina 5811 | 768671.ThimaDRAFT_4419
816_NapA,Thiocystis violascens DSM 198 | 765911.Thivi_4245
817_NapA,Thioflavicoccus mobilis 8321 | 765912.Thimo_2260
818_NapA,Thiorhodovibrio sp. 970 | 631362.Thi970DRAFT_03665
819_NapA,Alkalilimnicola ehrlichii MLHE-1 | 187272.Mlg_1702
820_NapA,Inmirania thermothiophila | tr|A0A3N1Y0J4|A0A3N1Y0J4_9GAMM
821_NapA,Thioalbus denitrificans | tr|A0A369CG66|A0A369CG66_9GAMM
822_NapA,Thioalkalivibrio nitratireducens DSM 14787 | 1255043.TVNIR_2418
823_NapA,Thioalkalivibrio sp. ALD1 | 1158150.KB906245_gene2122
824_NapA,Thioalkalivibrio thiocyanoxidans ARh 4 | 713587.THITH_07515
825_NapA,Thiohalomonas denitrificans | tr|A0A1G5PT58|A0A1G5PT58_9GAMM
826_NapA,Halothiobacillus neapolitanus c2 | 555778.Hneap_1112
827_NapA,Wenzhouxiangella sp. W260 | tr|A0A5N0TAA4|A0A5N0TAA4_9GAMM
828_NapA,Pragia fontium | tr|A0A0G3CSH9|A0A0G3CSH9_9GAMM
829_NapA,Enterobacteriaceae bacterium LSJC7 | 1224136.AMFN01000002_gene756
830_NapA,Enterobacteriaceae bacterium strain FGI 57 | 693444.D782_1901
831_NapA,Atlantibacter hermannii NBRC 105704 | 1115512.EH105704_11_00610
832_NapA,Buttiauxella agrestis ATCC 33320 | 1006004.GBAG_1675
833_NapA,Buttiauxella izardii | tr|A0A3A5JU86|A0A3A5JU86_9ENTR
834_NapA,Cedecea lapagei | tr|A0A447UZF2|A0A447UZF2_9ENTR
835_NapA,Cedecea neteri | tr|A0A291DVB2|A0A291DVB2_9ENTR
836_NapA,Cedecea sp. NFIX57 | tr|A0A1X7M1C1|A0A1X7M1C1_9ENTR
837_NapA,Citrobacter sedlakii NBRC 105722 | 1218086.BBNB01000001_gene3658
838_NapA,Citrobacter sp. CRE-46 | tr|A0A2Z3X469|A0A2Z3X469_9ENTR
839_NapA,Cronobacter condimenti 1330 | 1073999.BN137_3624
840_NapA,Enterobacter cloacae EcWSU1 | 1045856.EcWSU1_02618
841_NapA,Enterobacter sp. 638 | 399742.Ent638_2321
842_NapA,Enterobacter sp. R4-368 | 1166130.H650_09945
843_NapA,Escherichia coli | tr|A0A376HZQ1|A0A376HZQ1_ECOLX
844_NapA,Escherichia coli | tr|A0A376SHW7|A0A376SHW7_ECOLX
845_NapA,Klebsiella aerogenes KCTC 2190 | 1028307.EAE_16805
846_NapA,Klebsiella michiganensis | tr|A0A0D5WWN9|A0A0D5WWN9_9ENTR
847_NapA,Klebsiella oxytoca | 571.MC52_25290
848_NapA,Kluyvera ascorbata ATCC 33433 | 1006000.GKAS_03198
849_NapA,Leclercia adecarboxylata ATCC 23216 = NBRC 102595 | 911008.GLAD_00327
850_NapA,Mangrovibacter sp. MFB070 | 1224318.DT73_19865
851_NapA,Pluralibacter gergoviae | 61647.LG71_20435
852_NapA,Trabulsiella guamensis | tr|A0A085A9I1|A0A085A9I1_9ENTR
853_NapA,Erwinia tasmaniensis Et1/99 | 465817.ETA_17180
854_NapA,Pantoea ananatis LMG 20103 | 706191.PANA_1663
855_NapA,Pantoea rwandensis | 1076550.LH22_08210
856_NapA,Pantoea rwandensis | 1076550.LH22_11080
857_NapA,Pantoea sp. A4 | 1225184.ALXE01000016_gene3634
858_NapA,Pantoea sp. At-9b | 592316.Pat9b_2863
859_NapA,Pantoea sp. IMH | 1267600.JFGT01000006_gene1324
860_NapA,Pantoea sp. PSNIH2 | 1484157.PSNIH2_09075
861_NapA,Pantoea sp. Sc1 | 593105.S7A_11005
862_NapA,Tatumella morbirosei | 642227.HA49_02075
863_NapA,Tatumella ptyseos ATCC 33301 | 1005995.GTPT_0545
864_NapA,Edwardsiella tarda ATCC 15947 = NBRC 105688 | 667121.ET1_19_00290
865_NapA,Enterobacillus tribolii | tr|A0A370QRU3|A0A370QRU3_9GAMM
866_NapA,Hafnia paralvei | tr|A0A4Q9EKI9|A0A4Q9EKI9_9GAMM
867_NapA,Dickeya chrysanthemi Ech1591 | 561229.Dd1591_1442
868_NapA,Dickeya paradisiaca Ech703 | 579405.Dd703_2493
869_NapA,Dickeya zeae Ech586 | 590409.Dd586_0250
870_NapA,Pectobacterium atrosepticum SCRI1043 | 218491.ECA2990
871_NapA,Pectobacterium carotovorum subsp. carotovorum PC1 | 561230.PC1_0546
872_NapA,Pectobacterium versatile | tr|A0A855MJY2|A0A855MJY2_9GAMM
873_NapA,Rahnella aquatilis CIP 78.65 = ATCC 33071 | 745277.GRAQ_01271
874_NapA,Serratia marcescens FGI94 | 1249634.D781_2691
875_NapA,Serratia plymuthica | 82996.sch_15630
876_NapA,Serratia rhizosphaerae | tr|A0A857EGU9|A0A857EGU9_9GAMM
877_NapA,Serratia sp. ATCC 39006 | 104623.Ser39006_01635
878_NapA,Yersinia kristensenii | 28152.DJ57_2170
879_NapA,Yersinia kristensenii | tr|A0A0T9LGR7|A0A0T9LGR7_YERKR
880_NapA,Yersinia massiliensis CCUG 53443 | 1205683.CAKR01000027_gene4316
881_NapA,Methylobacter tundripaludum SV96 | 697282.Mettu_1179
882_NapA,Methylococcus capsulatus str. Bath | 243233.MCA0590
883_NapA,Methyloglobulus morosus KoM1 | 1116472.MGMO_128c00120
884_NapA,Methylomonas denitrificans | tr|A0A126T1W4|A0A126T1W4_9GAMM
885_NapA,Methylomonas methanica MC09 | 857087.Metme_3417
886_NapA,Methylohalobius crimeensis 10Ki | 1283300.ATXB01000002_gene2677
887_NapA,Algiphilus aromaticivorans DG1253 | 1415780.JPOG01000001_gene921
888_NapA,Nevskia ramosa DSM 11499 | 1122603.ATVI01000008_gene2422
889_NapA,Nevskia soli DSM 19509 | 1122604.JONR01000005_gene947
890_NapA,Polycyclovorans algicola TG408 | 1415779.JOMH01000001_gene3038
891_NapA,Solimonas soli DSM 21787 | 1123261.AXDW01000001_gene1276
892_NapA,Steroidobacter agaridevorans | tr|A0A829YPB8|A0A829YPB8_9GAMM
893_NapA,Oceanospirillales | tr|A0A2V1GZZ2|A0A2V1GZZ2_9GAMM
894_NapA,Alcanivorax borkumensis SK2 | 393595.ABO_1089
895_NapA,Alcanivorax hongdengensis A-11-3 | 1177179.A11A3_04370
896_NapA,Alcanivorax sp. 43B_GOM-46m | 1380387.JADM01000002_gene2199
897_NapA,Endozoicomonadaceae | tr|A0A444H2C4|A0A444H2C4_9GAMM
898_NapA,Endozoicomonas elysicola | 305900.GV64_17665
899_NapA,Endozoicomonas elysicola | tr|A0A081KBE4|A0A081KBE4_9GAMM
900_NapA,Endozoicomonas montiporae | 1027273.GZ77_05775
901_NapA,Endozoicomonas montiporae | 1027273.GZ77_08250
902_NapA,Endozoicomonas numazuensis | 1137799.GZ78_15215
903_NapA,Endozoicomonas numazuensis | 1137799.GZ78_23440
904_NapA,Endozoicomonas numazuensis | tr|A0A081NFX4|A0A081NFX4_9GAMM
905_NapA,Endozoicomonas sp. (ex Bugula neritina AB1) | tr|A0A1D2XD68|A0A1D2XD68_9GAMM
906_NapA,Parendozoicomonas haliclonae | tr|A0A1X7AFH4|A0A1X7AFH4_9GAMM
907_NapA,Hahella chejuensis KCTC 2396 | 349521.HCH_03364
908_NapA,Hahella chejuensis KCTC 2396 | 349521.HCH_05823
909_NapA,Hahella ganghwensis DSM 17046 | 1121935.AQXX01000133_gene3532
910_NapA,Chromohalobacter salexigens DSM 3043 | 290398.Csal_1119
911_NapA,Cobetia crustatorum | 553385.JEMF01000020_gene3008
912_NapA,Halomonas alkaliantarctica | 232346.JHQL01000001_gene2552
913_NapA,Halomonas anticariensis FP35 = DSM 16096 | 1121939.L861_14980
914_NapA,Halomonas elongata DSM 2581 | 768066.HELO_3231
915_NapA,Halomonas gudaonensis | tr|A0A1G8Q7T2|A0A1G8Q7T2_9GAMM
916_NapA,Halomonas huangheensis | 1178482.BJB45_13100
917_NapA,Halomonas lutea DSM 23508 | 1121943.KB899990_gene3874
918_NapA,Halomonas lutea DSM 23508 | 1121943.KB900022_gene3981
919_NapA,Halomonas sp. 22501_18_FS | tr|A0A7X4GCA0|A0A7X4GCA0_9GAMM
920_NapA,Halomonas sp. 23_GOM-1509m | 1380358.JADJ01000003_gene4688
921_NapA,Halomonas sp. 54_146 | tr|A0A117KIS3|A0A117KIS3_9GAMM
922_NapA,Halomonas sp. BC-M4-5 | tr|A0A6I6SLN2|A0A6I6SLN2_9GAMM
923_NapA,Halomonas sp. DQ26W | tr|A0A369KSJ5|A0A369KSJ5_9GAMM
924_NapA,Halomonas sp. GFAJ-1 | 1118153.MOY_07407
925_NapA,Halomonas sp. KO116 | 1504981.KO116_1617
926_NapA,Halomonas sp. PBN3 | 1397528.Q671_06275
927_NapA,Halomonas sp. TG39a | 1415755.JQLV01000001_gene1421
928_NapA,Halomonas xinjiangensis | 1166948.JPZL01000003_gene779
929_NapA,Halomonas zhanjiangensis DSM 21076 | 574966.KB898651_gene1913
930_NapA,Kushneria aurantia DSM 21353 | 1122139.KB907866_gene1574
931_NapA,Oceanospirillaceae | tr|S6GH86|S6GH86_9GAMM
932_NapA,Amphritea japonica ATCC BAA-1530 | 1278309.KB907099_gene2851
933_NapA,Marinobacterium litorale DSM 23545 | 1122201.AUAZ01000039_gene3279
934_NapA,Marinobacterium sp. AK27 | 1232683.ADIMK_0987
935_NapA,Marinobacterium stanieri S30 | 1042375.AFPL01000038_gene1537
936_NapA,Marinomonas mediterranea MMB-1 | 717774.Marme_3861
937_NapA,Marinomonas posidonica IVIA-Po-181 | 491952.Mar181_1255
938_NapA,Marinomonas sp. MWYL1 | 400668.Mmwyl1_2813
939_NapA,Marinomonas sp. S3726 | tr|A0A0F4QT55|A0A0F4QT55_9GAMM
940_NapA,Motiliproteus coralliicola | tr|A0A369WSB8|A0A369WSB8_9GAMM
941_NapA,Motiliproteus sp. MSK22-1 | tr|A0A1R1LGD1|A0A1R1LGD1_9GAMM
942_NapA,Neptuniibacter caesariensis | 207954.MED92_02938
943_NapA,Neptunomonas japonica DSM 18939 | 1122599.AUGR01000030_gene476
944_NapA,Oleispira antarctica | tr|R4YLB2|R4YLB2_OLEAN
945_NapA,Thalassolituus oleivorans MIL-1 | 1298593.TOL_1446
946_NapA,Oleiphilus messinensis | tr|A0A1Y0I331|A0A1Y0I331_9GAMM
947_NapA,Oleiphilus sp. HI0079 | tr|A0A657B9L9|A0A657B9L9_9GAMM
948_NapA,Aliikangiella coralliicola | tr|A0A545U911|A0A545U911_9GAMM
949_NapA,Gynuella sunshinyii | tr|A0A0C5VH67|A0A0C5VH67_9GAMM
950_NapA,Reinekea blandensis | tr|A4BGQ9|A4BGQ9_9GAMM
951_NapA,Saccharospirillum impatiens DSM 12546 | 1123228.AUIH01000029_gene3367
952_NapA,Pasteurellaceae | tr|A0A1T0B003|A0A1T0B003_9PAST
953_NapA,Actinobacillus suis H91-0380 | 696748.ASU2_10280
954_NapA,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans) | tr|A0A806G5W9|A0A806G5W9_AGGAC
955_NapA,Avibacterium paragallinarum (Haemophilus gallinarum) | tr|A0A3G8WAI9|A0A3G8WAI9_AVIPA
956_NapA,Cricetibacter osteomyelitidis | tr|A0A4R2SWK7|A0A4R2SWK7_9PAST
957_NapA,Gallibacterium anatis UMN179 | 1005058.UMN179_01245
958_NapA,Haemophilus haemolyticus M21621 | 1028805.GGC_0254
959_NapA,Haemophilus haemolyticus | tr|A0A502JK43|A0A502JK43_HAEHA
960_NapA,Haemophilus massiliensis | 1461579.CCNK01000020_gene506
961_NapA,Haemophilus parahaemolyticus | tr|I3DA89|I3DA89_HAEPH
962_NapA,Histophilus somni 129PT | 205914.HS_1508
963_NapA,Mannheimia varigena | tr|W0Q8A8|W0Q8A8_9PAST
964_NapA,Pasteurella bettyae CCUG 2042 | 1095749.HMPREF1052_0415
965_NapA,Pasteurella multocida | 747.DR93_443
966_NapA,Phocoenobacter uteri | tr|A0A379CAX6|A0A379CAX6_9PAST
967_NapA,Rodentibacter heylii | tr|A0A1V3K9I3|A0A1V3K9I3_9PAST
968_NapA,Pseudomonadales | tr|A0A2D9TY90|A0A2D9TY90_9GAMM
969_NapA,Pseudomonadales | tr|A0A2E3CVU6|A0A2E3CVU6_9GAMM
970_NapA,Acinetobacter baylyi ADP1 | 62977.ACIAD1908
971_NapA,Acinetobacter bereziniae | 106648.BBLJ01000001_gene2144
972_NapA,Acinetobacter bouvetii DSM 14964 = CIP 107468 | 1120925.F941_01606
973_NapA,Acinetobacter brisouii ANC 4119 | 1217652.F954_00264
974_NapA,Acinetobacter guillouiae NIPH 991 | 1217656.F964_02127
975_NapA,Acinetobacter indicus CIP 110367 | 1341679.P253_00862
976_NapA,Acinetobacter johnsonii SH046 | 575586.HMPREF0016_01500
977_NapA,Acinetobacter lwoffii SH145 | 575588.ACPN01000088_gene939
978_NapA,Acinetobacter nectaris CIP 110549 | 1392540.P256_00268
979_NapA,Acinetobacter pittii PHEA-2 | 871585.BDGL_001491
980_NapA,Acinetobacter radioresistens SH164 | 575589.HMPREF0018_00044
981_NapA,Acinetobacter soli | 487316.BBNM01000004_gene482
982_NapA,Acinetobacter sp. CIP 56.2 | 1144672.F966_03513
983_NapA,Acinetobacter sp. HR7 | 1509403.GW12_19700
984_NapA,Acinetobacter sp. P8-3-8 | 1029823.AFIE01000005_gene1251
985_NapA,Acinetobacter tandoii | 202954.BBNK01000005_gene1770
986_NapA,Alkanindiges illinoisensis DSM 15370 | 1120977.JHUX01000003_gene1518
987_NapA,Perlucidibaca piscinae DSM 21586 | 1122951.ATUE01000005_gene1574
988_NapA,Psychrobacter aquaticus CMS 56 | 1354303.M917_1880
989_NapA,Psychrobacter cryohalolentis K5 | 335284.Pcryo_1323
990_NapA,Psychrobacter lutiphocae DSM 21542 | 1123033.ARNF01000061_gene308
991_NapA,Psychrobacter sp. 1501(2011) | 1002339.HMPREF9373_1799
992_NapA,Psychrobacter sp. PAMC 21119 | 1112209.AHVZ01000031_gene1872
993_NapA,Psychrobacter sp. PRwf-1 | 349106.PsycPRwf_1548
994_NapA,Psychrobacter sp. TB67 | 1055815.AYYA01000064_gene493
995_NapA,Pseudomonadaceae | tr|A0A6I7NCZ5|A0A6I7NCZ5_9GAMM
996_NapA,Azotobacter vinelandii DJ | 322710.Avin_23350
997_NapA,Permianibacter aggregans | tr|A0A4R6UEK8|A0A4R6UEK8_9GAMM
998_NapA,Pseudomonas aeruginosa | 287.DR97_107
999_NapA,Pseudomonas chlororaphis | 587753.EY04_09005
1000_NapA,Pseudomonas donghuensis | 1163398.AJJP01000124_gene4705
1001_NapA,Pseudomonas entomophila L48 | 384676.PSEEN1417
1002_NapA,Pseudomonas fluorescens HK44 | 1042209.HK44_022735
1003_NapA,Pseudomonas fluorescens SBW25 | 216595.PFLU_3426
1004_NapA,Pseudomonas fulva 12-X | 743720.Psefu_3354
1005_NapA,Pseudomonas furukawaii | 1149133.ppKF707_3159
1006_NapA,Pseudomonas hussainii | tr|A0A1H7MDN3|A0A1H7MDN3_9PSED
1007_NapA,Pseudomonas knackmussii B13 | 1301098.PKB_1961
1008_NapA,Pseudomonas lutea | 243924.LT42_14265
1009_NapA,Pseudomonas mendocina ymp | 399739.Pmen_2094
1010_NapA,Pseudomonas mosselii SJ10 | 1388763.O165_000570
1011_NapA,Pseudomonas nitroreducens TX1 | 1226994.AMZB01000072_gene2314
1012_NapA,Pseudomonas oleovorans | 301.JNHE01000002_gene2149
1013_NapA,Pseudomonas pelagia CL-AP6 | 1323663.AROI01000014_gene155
1014_NapA,Pseudomonas psychrotolerans L19 | 1112217.PPL19_05930
1015_NapA,Pseudomonas putida CSV86 | 1005395.CSV86_27429
1016_NapA,Pseudomonas putida KT2440 | 160488.PP_1703
1017_NapA,Pseudomonas resinovorans NBRC 106553 | 1245471.PCA10_40900
1018_NapA,Pseudomonas rhizosphaerae | 216142.LT40_05730
1019_NapA,Pseudomonas sp. ML96 | 1523503.JPMY01000016_gene785
1020_NapA,Pseudomonas sp. RL | 1452718.JBOY01000003_gene1430
1021_NapA,Pseudomonas sp. RL | 1452718.JBOY01000028_gene188
1022_NapA,Pseudomonas sp. S9 | 686578.AFFX01000001_gene1554
1023_NapA,Pseudomonas stutzeri SDM-LAC | 1109445.AGSX01000195_gene513
