1NY4	r__Root
XP_015020356	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila mojavensis
XP_015188342	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Vespidae; g__Polistes; s__Polistes dominula
XP_015280059	d__Eukaryota; p__Chordata; c__Lepidosauria; o__Squamata; f__Gekkonidae; g__Gekko; s__Gekko japonicus
XP_015665392	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Leptomonas; s__Leptomonas pyrrhocoris
XP_015745821	d__Eukaryota; p__Chordata; c__Lepidosauria; o__Squamata; f__Pythonidae; g__Python; s__Python bivittatus
CCE86380	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Millerozyma; s__Millerozyma farinosa
XP_015951197	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Arachis; s__Arachis duranensis
XP_015951199	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Arachis; s__Arachis duranensis
XP_015969263	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Arachis; s__Arachis duranensis
XP_016036922	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila simulans
XP_016128791	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Sinocyclocheilus; s__Sinocyclocheilus grahami
XP_016211549	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae; g__Verruconis; s__Verruconis gallopava
XP_016273381	d__Eukaryota; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula; s__Rhodotorula toruloides
XP_016543923	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Capsicum; s__Capsicum annuum
XP_016548803	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Capsicum; s__Capsicum annuum
XP_016588455	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Sporothrix; s__Sporothrix schenckii
CCG80810	d__Eukaryota; p__Ascomycota; c__Taphrinomycetes; o__Taphrinales; f__Taphrinaceae; g__Taphrina; s__Taphrina deformans
XP_016627999	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Fonsecaea; s__Fonsecaea multimorphosa
XP_016646258	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Scedosporium; s__Scedosporium apiospermum
XP_016671434	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Malvales; f__Malvaceae; g__Gossypium; s__Gossypium hirsutum
XP_016757976	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Mycosphaerellales; f__Mycosphaerellaceae; g__Sphaerulina; s__Sphaerulina musiva
XP_016933843	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila suzukii
XP_016950935	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila biarmipes
XP_016961766	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila biarmipes
XP_016977663	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila rhopaloa
XP_016980226	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila rhopaloa
XP_017006277	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila takahashii
CCI44837	d__Eukaryota
XP_017008704	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila takahashii
XP_017027890	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila kikkawai
XP_017033031	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila kikkawai
XP_017053759	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila ficusphila
XP_017055867	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila ficusphila
XP_017071454	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila eugracilis
XP_017076194	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila eugracilis
XP_017105403	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila bipectinata
XP_017120682	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila elegans
XP_017131101	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila elegans
ABR23349	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Ixodida; f__Argasidae; g__Ornithodoros; s__Ornithodoros parkeri
CCO30132	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Rhizoctonia; s__Rhizoctonia solani
XP_017194823	d__Eukaryota; p__Chordata; c__Mammalia; o__Lagomorpha; f__Leporidae; g__Oryctolagus; s__Oryctolagus cuniculus
XP_017232799	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Apiales; f__Apiaceae; g__Daucus; s__Daucus carota
XP_017374031	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Cebus; s__Cebus capucinus
XP_017459269	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Rattus; s__Rattus norvegicus
XP_017491660	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Tephritidae; g__Rhagoletis; s__Rhagoletis zephyria
XP_017777980	d__Eukaryota; p__Arthropoda; c__Insecta; o__Coleoptera; f__Silphidae; g__Nicrophorus; s__Nicrophorus vespilloides
XP_017987120	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Eremothecium; s__Eremothecium sinecaudum
XP_017991512	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia pachydermatis
XP_018030669	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymosphaeriaceae; g__Paraphaeosphaeria; s__Paraphaeosphaeria sporulosa
XP_018077050	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Mollisiaceae; g__Phialocephala; s__Phialocephala scopiformis
CCQ18626	d__Eukaryota; p__Porifera; c__Calcarea; o__Leucosolenida; f__Sycettidae; g__Sycon; s__Sycon ciliatum
XP_018132478	d__Eukaryota; p__Ascomycota; c__Leotiomycetes
XP_018210489	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Ogataea; s__Ogataea polymorpha
XP_018219384	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces eubayanus
XP_018220671	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces eubayanus
XP_018230711	d__Eukaryota; p__Ascomycota; c__Pneumocystidomycetes; o__Pneumocystidales; f__Pneumocystidaceae; g__Pneumocystis; s__Pneumocystis jirovecii
XP_018262522	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Kwoniella; s__Kwoniella dejecticola
XP_018276381	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon; s__Cutaneotrichosporon oleaginosum
XP_018298819	r__Root
XP_018336003	d__Eukaryota; p__Arthropoda; c__Insecta; o__Coleoptera; f__Buprestidae; g__Agrilus; s__Agrilus planipennis
XP_018381678	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria alternata
CCW61787	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Phytomonas; s__Phytomonas sp. isolate EM1
XP_018420855	d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Dicroglossidae; g__Nanorana; s__Nanorana parkeri
XP_018473438	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Raphanus; s__Raphanus sativus
XP_018482452	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Raphanus; s__Raphanus sativus
XP_018532597	d__Eukaryota; p__Chordata; c__Actinopteri
XP_018566871	d__Eukaryota; p__Arthropoda; c__Insecta; o__Coleoptera; f__Cerambycidae; g__Anoplophora; s__Anoplophora glabripennis
XP_018638444	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Sarcocystidae; g__Toxoplasma; s__Toxoplasma gondii
XP_018711189	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Metschnikowia; s__Metschnikowia bicuspidata
XP_018740219	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia sympodialis
XP_018825630	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fagales; f__Juglandaceae; g__Juglans; s__Juglans regia
XP_018834701	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fagales; f__Juglandaceae; g__Juglans; s__Juglans regia
CCW67916	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Phytomonas; s__Phytomonas sp. isolate Hart1
XP_018905324	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Aleyrodidae; g__Bemisia; s__Bemisia tabaci
XP_018985298	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Babjeviella; s__Babjeviella inositovora
XP_018987842	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Babjeviella; s__Babjeviella inositovora
XP_018990114	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus amylolentus
XP_018990115	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus amylolentus
XP_019012619	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Kwoniella; s__Kwoniella pini
XP_019026382	d__Eukaryota; p__Ascomycota
XP_019027795	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus wingfieldii
XP_019040410	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Wickerhamomyces; s__Wickerhamomyces anomalus
XP_019041113	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Wickerhamomyces; s__Wickerhamomyces anomalus
CCW67917	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Phytomonas; s__Phytomonas sp. isolate Hart1
XP_019045800	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Kwoniella; s__Kwoniella bestiolae
XP_019052660	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Proteales; f__Nelumbonaceae; g__Nelumbo; s__Nelumbo nucifera
XP_019059278	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Cleomaceae; g__Tarenaya; s__Tarenaya hassleriana
XP_019095963	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Camelina; s__Camelina sativa
XP_019618298	d__Eukaryota; p__Chordata; c__Leptocardii; o__Amphioxiformes; f__Branchiostomidae; g__Branchiostoma; s__Branchiostoma belcheri
XP_019751889	d__Eukaryota; p__Chordata; c__Actinopteri; o__Syngnathiformes; f__Syngnathidae; g__Hippocampus; s__Hippocampus comes
XP_020044848	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Ascoideaceae; g__Ascoidea; s__Ascoidea rubescens
XP_020062766	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Suhomyces; s__Suhomyces tanzawaensis
XP_020064202	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Suhomyces; s__Suhomyces tanzawaensis
XP_020070603	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Cyberlindnera; s__Cyberlindnera jadinii
CCX32541	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Pyronema; s__Pyronema omphalodes
XP_020071678	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Cyberlindnera; s__Cyberlindnera jadinii
XP_020104263	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Bromeliaceae; g__Ananas; s__Ananas comosus
XP_020131267	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Diplodia; s__Diplodia corticola
XP_020256600	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Asparagaceae; g__Asparagus; s__Asparagus officinalis
XP_020258438	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Asparagaceae; g__Asparagus; s__Asparagus officinalis
XP_020378016	d__Eukaryota; p__Chordata; c__Chondrichthyes; o__Orectolobiformes; f__Rhincodontidae; g__Rhincodon; s__Rhincodon typus
XP_020410363	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__Prunus persica
XP_020434337	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Acytosteliales; f__Acytosteliaceae; g__Heterostelium; s__Heterostelium album
XP_020471656	d__Eukaryota; p__Chordata; c__Actinopteri; o__Synbranchiformes; f__Synbranchidae; g__Monopterus; s__Monopterus albus
XP_020500061	d__Eukaryota; p__Chordata; c__Actinopteri; o__Labriformes; f__Labridae; g__Labrus; s__Labrus bergylta
CDH09289	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Zygosaccharomyces; s__Zygosaccharomyces bailii
XP_020544692	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia kudriavzevii
XP_020577342	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Orchidaceae; g__Phalaenopsis; s__Phalaenopsis equestris
XP_020690280	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Orchidaceae; g__Dendrobium; s__Dendrobium catenatum
XP_020693084	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asparagales; f__Orchidaceae; g__Dendrobium; s__Dendrobium catenatum
XP_020796589	d__Eukaryota; p__Chordata; c__Actinopteri; o__Gobiiformes; f__Gobiidae; g__Boleophthalmus; s__Boleophthalmus pectinirostris
XP_020807814	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila serrata
XP_020815620	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila serrata
XP_020891715	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__Arabidopsis lyrata
XP_020991769	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fabales; f__Fabaceae; g__Arachis; s__Arachis duranensis
XP_021189347	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Noctuidae; g__Helicoverpa; s__Helicoverpa armigera
CDH49388	d__Eukaryota; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Lichtheimiaceae; g__Lichtheimia; s__Lichtheimia corymbifera
XP_021673039	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Malpighiales; f__Euphorbiaceae; g__Hevea; s__Hevea brasiliensis
XP_021729606	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Chenopodium; s__Chenopodium quinoa
XP_021748368	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Chenopodium; s__Chenopodium quinoa
XP_021767645	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Chenopodium; s__Chenopodium quinoa
XP_021874024	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cuniculitremaceae; g__Kockovaella; s__Kockovaella imperatae
XP_021875823	d__Eukaryota; p__Mucoromycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Lobosporangium; s__Lobosporangium transversale
XP_021886577	d__Eukaryota; p__Mucoromycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Lobosporangium; s__Lobosporangium transversale
XP_021906904	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Caricaceae; g__Carica; s__Carica papaya
XP_021910576	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Caricaceae; g__Carica; s__Carica papaya
XP_021973473	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asterales; f__Asteraceae; g__Helianthus; s__Helianthus annuus
CDH58044	d__Eukaryota; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Lichtheimiaceae; g__Lichtheimia; s__Lichtheimia corymbifera
XP_021999508	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asterales; f__Asteraceae; g__Helianthus; s__Helianthus annuus
XP_022023166	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asterales; f__Asteraceae; g__Helianthus; s__Helianthus annuus
XP_022024246	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asterales; f__Asteraceae; g__Helianthus; s__Helianthus annuus
XP_022134697	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Momordica; s__Momordica charantia
XP_022191174	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hemiptera; f__Delphacidae; g__Nilaparvata; s__Nilaparvata lugens
XP_022223511	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila obscura
XP_022223512	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila obscura
XP_022233276	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila obscura
XP_022465203	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania; s__Kazachstania naganishii
XP_022476750	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum; s__Colletotrichum orchidophilum
CDI51709	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Melanopsichium; s__Melanopsichium pennsylvanicum
XP_022583430	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicilliopsis; s__Penicilliopsis zonata
XP_022588500	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Eucoccidiorida; f__Eimeriidae; g__Cyclospora; s__Cyclospora cayetanensis
XP_022676039	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kluyveromyces; s__Kluyveromyces marxianus
XP_022742780	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Malvales; f__Malvaceae; g__Durio; s__Durio zibethinus
XP_022769993	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Malvales; f__Malvaceae; g__Durio; s__Durio zibethinus
XP_022839488	d__Eukaryota; p__Chlorophyta; c__Mamiellophyceae; o__Mamiellales; f__Bathycoccaceae; g__Ostreococcus; s__Ostreococcus tauri
XP_022847914	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Lamiales; f__Oleaceae; g__Olea; s__Olea europaea
XP_022910100	d__Eukaryota; p__Arthropoda; c__Insecta; o__Coleoptera; f__Scarabaeidae; g__Onthophagus; s__Onthophagus taurus
XP_022922061	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucurbita; s__Cucurbita moschata
XP_022922062	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucurbita; s__Cucurbita moschata
ABR87581	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Neodiplogasteridae; g__Pristionchus; s__Pristionchus pacificus
CDM87113	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Triticum; s__Triticum aestivum
XP_022928637	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucurbita; s__Cucurbita moschata
XP_023177434	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__Drosophila hydei
XP_023361007	d__Eukaryota; p__Chordata; c__Mammalia; o__Dasyuromorphia; f__Dasyuridae; g__Sarcophilus; s__Sarcophilus harrisii
XP_023424112	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium fujikuroi
XP_023517148	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucurbita; s__Cucurbita pepo
XP_023890053	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fagales; f__Fagaceae; g__Quercus; s__Quercus suber
XP_023891652	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fagales; f__Fagaceae; g__Quercus; s__Quercus suber
XP_023894345	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Fagales; f__Fagaceae; g__Quercus; s__Quercus suber
XP_023939349	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Nymphalidae; g__Bicyclus; s__Bicyclus anynana
XP_023941485	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Nymphalidae; g__Bicyclus; s__Bicyclus anynana
CDM87114	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Triticum; s__Triticum aestivum
XP_024068973	d__Eukaryota; p__Chordata
XP_024070170	d__Eukaryota; p__Chordata
XP_024161641	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rosa; s__Rosa chinensis
XP_024176945	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rosa; s__Rosa chinensis
XP_024330641	d__Eukaryota; p__Microsporidia
XP_024344493	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Dacryobolaceae; g__Postia; s__Postia placenta
XP_024352908	d__Eukaryota; p__Platyhelminthes; c__Cestoda; o__Cyclophyllidea; f__Taeniidae; g__Echinococcus; s__Echinococcus granulosus
XP_024388445	d__Eukaryota; p__Streptophyta; c__Bryopsida; o__Funariales; f__Funariaceae; g__Physcomitrium; s__Physcomitrium patens
XP_024394256	d__Eukaryota; p__Streptophyta; c__Bryopsida; o__Funariales; f__Funariaceae; g__Physcomitrium; s__Physcomitrium patens
XP_024406383	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma gamsii
CDO54234	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Geotrichum; s__Geotrichum candidum
XP_024504701	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Strongyloididae; g__Strongyloides; s__Strongyloides ratti
XP_024546402	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Botrytis; s__Botrytis cinerea
XP_024573287	d__Eukaryota
XP_024666157	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Wickerhamiella; s__Wickerhamiella sorbophila
XP_024674581	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus candidus
XP_024724296	d__Eukaryota; p__Ascomycota; c__Leotiomycetes
XP_024753672	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma citrinoviride
XP_311696	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Culicidae; g__Anopheles; s__Anopheles gambiae
XP_455995	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kluyveromyces; s__Kluyveromyces lactis
XP_459098	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Debaryomyces; s__Debaryomyces hansenii
CDP04901	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Gentianales; f__Rubiaceae; g__Coffea; s__Coffea canephora
XP_501463	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Yarrowia; s__Yarrowia lipolytica
XP_638148	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__Dictyostelium discoideum
XP_650750	d__Eukaryota; p__Evosea
XP_652698	d__Eukaryota; p__Evosea
XP_664236	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus nidulans
XP_677251	d__Eukaryota; p__Apicomplexa; c__Aconoidasida; o__Haemosporida; f__Plasmodiidae; g__Plasmodium; s__Plasmodium berghei
XP_763448	d__Eukaryota; p__Apicomplexa; c__Aconoidasida; o__Piroplasmida; f__Theileriidae; g__Theileria; s__Theileria parva
XP_806954	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Trypanosoma; s__Trypanosoma cruzi
